# Radius 	finiterdf__LJ_LJ	rdf__LJ_LJ	
5.97774 1.16438	1.16237	
5.98683 1.17199	1.17002	
5.99593 1.17008	1.16816	
6.00502 1.17258	1.17071	
6.01411 1.1876	1.18576	
6.0232 1.18565	1.18387	
6.03229 1.18023	1.17852	
6.04138 1.18041	1.17875	
6.05047 1.17876	1.17715	
6.05957 1.19314	1.19158	
6.06866 1.19222	1.19072	
6.07775 1.19216	1.19071	
6.08684 1.20023	1.19884	
6.09593 1.1984	1.19707	
6.10502 1.1959	1.19463	
6.11412 1.20454	1.20333	
6.12321 1.19731	1.19617	
6.1323 1.19819	1.19712	
6.14139 1.20316	1.20214	
6.15048 1.19733	1.19638	
6.15957 1.18832	1.18744	
6.16867 1.20414	1.20331	
6.17776 1.20779	1.20703	
6.18685 1.19849	1.19781	
6.19594 1.20319	1.20257	
6.20503 1.20409	1.20353	
6.21412 1.20765	1.20716	
6.22322 1.20576	1.20534	
6.23231 1.1995	1.19915	
6.2414 1.19522	1.19494	
6.25049 1.2139	1.21369	
6.25958 1.19483	1.19468	
6.26867 1.19556	1.19547	
6.27777 1.19607	1.19605	
6.28686 1.19577	1.19582	
6.29595 1.19424	1.19435	
6.30504 1.19993	1.20011	
6.31413 1.18685	1.1871	
6.32322 1.19488	1.19519	
6.33232 1.20449	1.20488	
6.34141 1.18265	1.18309	
6.3505 1.18945	1.18996	
6.35959 1.1911	1.19167	
6.36868 1.17307	1.1737	
6.37777 1.18515	1.18585	
6.38686 1.18234	1.1831	
6.39596 1.1774	1.17821	
6.40505 1.1683	1.16917	
6.41414 1.18303	1.18397	
6.42323 1.17542	1.17642	
6.43232 1.17651	1.17758	
6.44141 1.17199	1.17311	
6.45051 1.17003	1.1712	
6.4596 1.17266	1.1739	
6.46869 1.15619	1.15747	
6.47778 1.16274	1.16408	
6.48687 1.15619	1.15758	
6.49596 1.15825	1.1597	
6.50506 1.15145	1.15295	
6.51415 1.14714	1.14869	
6.52324 1.15205	1.15366	
6.53233 1.1343	1.13593	
6.54142 1.14534	1.14703	
6.55051 1.13016	1.13188	
6.55961 1.13227	1.13404	
6.5687 1.13724	1.13907	
6.57779 1.11897	1.12081	
6.58688 1.12383	1.12572	
6.59597 1.11531	1.11723	
6.60506 1.11711	1.11907	
6.61416 1.11997	1.12199	
6.62325 1.11225	1.11429	
6.63234 1.11405	1.11613	
6.64143 1.10833	1.11044	
6.65052 1.10445	1.10659	
6.65961 1.09527	1.09743	
6.66871 1.09668	1.09887	
6.6778 1.09758	1.09982	
6.68689 1.09303	1.09529	
6.69598 1.09171	1.094	
6.70507 1.08163	1.08393	
6.71416 1.09504	1.0974	
6.72325 1.08101	1.08337	
6.73235 1.0804	1.08278	
6.74144 1.07129	1.07369	
6.75053 1.0701	1.07252	
6.75962 1.06082	1.06324	
6.76871 1.05376	1.05619	
6.7778 1.06536	1.06783	
6.7869 1.06246	1.06495	
6.79599 1.05183	1.05432	
6.80508 1.05595	1.05847	
6.81417 1.04019	1.04268	
6.82326 1.04339	1.04591	
6.83235 1.03901	1.04153	
6.84145 1.03725	1.03978	
6.85054 1.02528	1.0278	
6.85963 1.03944	1.042	
6.86872 1.02684	1.02938	
6.87781 1.02292	1.02546	
6.8869 1.02391	1.02646	
6.896 1.01279	1.01532	
6.90509 1.01317	1.01571	
6.91418 1.02277	1.02534	
6.92327 1.01401	1.01656	
6.93236 1.01484	1.0174	
6.94145 1.00856	1.01111	
6.95055 0.995217	0.997731	
6.95964 1.00438	1.00692	
6.96873 0.99629	0.99881	
6.97782 1.00404	1.00658	
6.98691 0.985139	0.987628	
6.996 0.978131	0.980595	
7.0051 0.991359	0.993855	
7.01419 0.979683	0.982143	
7.02328 0.974458	0.976896	
7.03237 0.975679	0.978112	
7.04146 0.977988	0.980421	
7.05055 0.977955	0.980381	
7.05964 0.97776	0.980177	
7.06874 0.972363	0.974758	
7.07783 0.965813	0.968181	
7.08692 0.958006	0.960341	
7.09601 0.964271	0.966609	
7.1051 0.962592	0.964913	
7.11419 0.963697	0.966008	
7.12329 0.956722	0.959003	
7.13238 0.955623	0.957885	
7.14147 0.953525	0.955766	
7.15056 0.951701	0.953921	
7.15965 0.954928	0.957141	
7.16874 0.947629	0.949807	
7.17784 0.941994	0.944138	
7.18693 0.942467	0.944593	
7.19602 0.941905	0.94401	
7.20511 0.949276	0.951379	
7.2142 0.936488	0.93854	
7.22329 0.93611	0.938139	
7.23239 0.937033	0.939042	
7.24148 0.93639	0.938376	
7.25057 0.927915	0.929857	
7.25966 0.926411	0.928323	
7.26875 0.92783	0.92972	
7.27784 0.92879	0.930657	
7.28694 0.924893	0.926725	
7.29603 0.91901	0.920801	
7.30512 0.924015	0.925789	
7.31421 0.917796	0.919529	
7.3233 0.922076	0.923789	
7.33239 0.922238	0.923923	
7.34149 0.914462	0.916102	
7.35058 0.913125	0.914731	
7.35967 0.90997	0.911538	
7.36876 0.912886	0.914427	
7.37785 0.91416	0.915672	
7.38694 0.915861	0.917345	
7.39603 0.911018	0.912462	
7.40513 0.901625	0.903018	
7.41422 0.909775	0.911147	
7.42331 0.907939	0.909274	
7.4324 0.914631	0.915945	
7.44149 0.904531	0.905795	
7.45058 0.907904	0.909138	
7.45968 0.905101	0.906296	
7.46877 0.904078	0.905236	
7.47786 0.905005	0.906129	
7.48695 0.906249	0.907339	
7.49604 0.89846	0.899502	
7.50513 0.898218	0.899222	
7.51423 0.893856	0.894815	
7.52332 0.905746	0.906682	
7.53241 0.897943	0.898832	
7.5415 0.907747	0.90861	
7.55059 0.899493	0.90031	
7.55968 0.89481	0.895582	
7.56878 0.897315	0.89805	
7.57787 0.89945	0.900148	
7.58696 0.897985	0.898643	
7.59605 0.894559	0.895173	
7.60514 0.902052	0.902633	
7.61423 0.897981	0.89852	
7.62333 0.894299	0.894794	
7.63242 0.900095	0.900554	
7.64151 0.8998	0.900219	
7.6506 0.902954	0.903336	
7.65969 0.897737	0.898076	
7.66878 0.899063	0.899362	
7.67788 0.900687	0.900947	
7.68697 0.891762	0.891976	
7.69606 0.89929	0.899466	
7.70515 0.909608	0.909749	
7.71424 0.899935	0.900034	
7.72333 0.905235	0.905296	
7.73243 0.908135	0.908158	
7.74152 0.904981	0.904965	
7.75061 0.905598	0.905542	
7.7597 0.904588	0.904494	
7.76879 0.903356	0.903221	
7.77788 0.906514	0.90634	
7.78697 0.902266	0.902052	
7.79607 0.916737	0.916484	
7.80516 0.903839	0.90355	
7.81425 0.907942	0.907613	
7.82334 0.91056	0.910191	
7.83243 0.915363	0.914956	
7.84152 0.911009	0.910566	
7.85062 0.91087	0.910388	
