# Time-averaged data for fix f5
# TimeStep Number-of-rows
# Row c_rdff[1] c_rdff[2] c_rdff[3]
100000 2000
694 2.774 0.211193 2.52209
695 2.778 0.227838 2.74993
696 2.782 0.244651 2.99458
697 2.786 0.259718 3.2543
698 2.79 0.276616 3.53091
699 2.794 0.29399 3.8249
700 2.798 0.3103 4.1352
701 2.802 0.323375 4.45858
702 2.806 0.336598 4.79518
703 2.81 0.355458 5.15063
704 2.814 0.368424 5.51906
705 2.818 0.385152 5.90421
706 2.822 0.402647 6.30686
707 2.826 0.423599 6.73046
708 2.83 0.447947 7.1784
709 2.834 0.47801 7.65641
710 2.838 0.504174 8.16059
711 2.842 0.531153 8.69174
712 2.846 0.558764 9.2505
713 2.85 0.584361 9.83486
714 2.854 0.611074 10.4459
715 2.858 0.634512 11.0805
716 2.862 0.661464 11.7419
717 2.866 0.684283 12.4262
718 2.87 0.712114 13.1383
719 2.874 0.73441 13.8727
720 2.878 0.761879 14.6346
721 2.882 0.786886 15.4215
722 2.886 0.812643 16.2341
723 2.89 0.840043 17.0742
724 2.894 0.870113 17.9443
725 2.898 0.89726 18.8415
726 2.902 0.925995 19.7675
727 2.906 0.953001 20.7205
728 2.91 0.978689 21.6992
729 2.914 1.00572 22.7049
730 2.918 1.03322 23.7382
731 2.922 1.06167 24.7998
732 2.926 1.08975 25.8896
733 2.93 1.11878 27.0084
734 2.934 1.14953 28.1579
735 2.938 1.18131 29.3392
736 2.942 1.2113 30.5505
737 2.946 1.24167 31.7922
738 2.95 1.27243 33.0646
739 2.954 1.30316 34.3678
740 2.958 1.3338 35.7016
741 2.962 1.3652 37.0668
742 2.966 1.39512 38.4619
743 2.97 1.43005 39.8919
744 2.974 1.4623 41.3542
745 2.978 1.49529 42.8495
746 2.982 1.52953 44.379
747 2.986 1.56161 45.9406
748 2.99 1.5914 47.5321
749 2.994 1.61805 49.1501
750 2.998 1.64626 50.7964
751 3.002 1.6749 52.4713
752 3.006 1.70145 54.1727
753 3.01 1.72818 55.9009
754 3.014 1.75601 57.6569
755 3.018 1.77829 59.4352
756 3.022 1.80468 61.2399
757 3.026 1.83065 63.0705
758 3.03 1.85523 64.9257
759 3.034 1.8793 66.805
760 3.038 1.90104 68.7061
761 3.042 1.92323 70.6293
762 3.046 1.94572 72.575
763 3.05 1.96518 74.5402
764 3.054 1.98496 76.5252
765 3.058 2.00534 78.5305
766 3.062 2.02302 80.5535
767 3.066 2.04081 82.5943
768 3.07 2.05974 84.6541
769 3.074 2.07977 86.7339
770 3.078 2.09953 88.8334
771 3.082 2.11669 90.9501
772 3.086 2.13346 93.0835
773 3.09 2.14662 95.2301
774 3.094 2.15929 97.3894
775 3.098 2.16993 99.5594
776 3.102 2.18137 101.741
777 3.106 2.19325 103.934
778 3.11 2.2066 106.141
